id,name,url,description,start_time,end_time,location,address,organizer,is_free,price,currency,thumbnail
A7D2K9L3QP,Saturday Afternoon GBK Park Walk and Talk + Lucy in the Sky Dinner and Drinks,https://www.meetup.com/jakarta-social/events/311147254/,"Senayan GBK Park is located in the heart of the city and is a nice place to visit and explore. Starting from Entrance 7 (Pintu 7), we will walk around and through the park and then over to Senayan Park Complex.Let's escape the hustle and bustle of Jakarta with a late afternoon stroll through Senayan GBK Park and make some new friends along the way!

Senayan GBK Park is located in the heart of the city and is a nice place to visit and explore. Starting from Entrance 7 (Pintu 7), we will walk around and through the park and then over to Senayan Park Complex.

Afterwards, we'll go to Lucy in the Sky at Spark, located on the rooftop of Senyan Park Mall for some refreshing drinks and food. This last part is optional for people who want to go.

The walk will be a casual stroll around several connecting parks. The walk will take approximately 1:30 hours.

We will meet just outside Entrance 7 near the main road.

Please be on time, as once we start the walk it will be very difficult to locate us. However, we will post the live location on the WhatsApp Group chat.

This is a fun and social event, and everyone is encouraged to get to know each other and make new friends.

📢 IMPORTANT: Attendance Reconfirmation Required

To ensure accurate headcounts and reduce no-shows, we're implementing an updated reconfirmation system for all events.

Here's how it works:

All events start with unlimited RSVPs.
4 days before each event, a reconfirmation form will be posted in the event comments and shared in the WhatsApp group.
You must reconfirm ASAP by submitting the form. Your spot is guaranteed only after you reconfirm.
The form closes once we reach the target attendance number.
Anyone who hasn’t reconfirmed when the form closes will be removed from the attendee list.
If you can’t attend, change your status to Not Going.
Three‑strike rule: If you don’t reconfirm and don’t change to Not Going three times, you will be removed from the group.

Thanks for helping us keep things running smoothly. Looking forward to seeing you all there.

If you have any questions, please feel free to let me know here or join our friendly and active WhatsApp Group Chat:
https://chat.whatsapp.com/FBQsf4Cv4yWACNs9gbiYNH

Instagram: https://www.instagram.com/jakartasocialgroup",2025-10-18T16:00:00+07:00,null,"Entrance 7, GBK Park","Pintu 7, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota · Jakarta",Paul J.,true,null,null,https://secure.meetupstatic.com/photos/event/6/f/0/3/highres_530308419.webp?w=1080
F4R8C2Z0WM,ApotheCARE RUN 2025,https://www.goersapp.com/events/apothecare-run-2025--iaibali,untuk apoteker dan umum,2025-12-14T05:00:00+07:00,2025-12-14T11:00:00+07:00,Pantai Mertasari,"Jl. Pengembak No.1, Sanur Kauh, Kecamatan Denpasar Selatan, Denpasar Kota, Bali, Indonesia",PD IAI BALI,true,null,null,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1756041726-BiM5HVBpRm6G4WhU6dz6V0QJ7qKsyJUG.png?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
T9N3V6H5BQ,WMNLyfe: Spin with Babes Vol. 16,https://www.goersapp.com/events/wmnlyfe-spin-with-babes-vol-16--spinvol16,"WMNLyfe's Spin with Babes is the place to learn and improve your tennis skill. With a professional coach, were here to spin and have fun, and of course, everyone is welcome! All you need to do is just to come by, learn and enjoy. Lets ace together!",2025-10-18T08:00:00+07:00,2025-10-18T10:00:00+07:00,Somerset Grand Citra Jakarta,"Somerset Grand Citra Jakarta
Ciputra World Jakarta 1, Jl. Prof. DR. Satrio No.Kav 1, Kuningan, East Kuningan, Setiabudi, Jakarta City South, Jakarta, Indonesia",Event by Narasi,false,185000,IDR,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1759481145-cfgb9uFOTbg1DfOushM6nLjNBl3sLZjv.png?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
L1J8S4E7XZ,SIP CLUB: Suits to Sweats,https://www.goersapp.com/events/sip-club-suits-to-sweats--sipclubsmash8okt,"Detail:
- 2 jam, 2 lapangan
- 12 pemain
- Semua gender
- Semua umur
- Level: Upper beginner - intermediate
- Voucher for top 3
- Format: Mexicano
- Skor: Tennis Game of 4
- Pace: Intense
- Partner: Tidak tetap (rotasi)
- Bola akan disediakan
- Umpire/ballboy akan disediakan
- Snack & air putih akan disediakan
- Mohon bawa raket sendiri atau bisa pinjam di lapangan
- Mohon unggah bukti pembayaran ke Reclub SIP Club: https://reclub.co/clubs/@sipclub",2025-10-08T18:00:00+07:00,2025-10-08T20:00:00+07:00,Smash Padel Simatupang,"Jl. TB Simatupang No.34, Pasar Minggu, Jakarta Selatan Kota, Jakarta, Indonesia",SIP CLUB,false,240000,IDR,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1759475956-bevt2Rj0axxNs9aUUfbQtbpPspiGjoYp.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
Q2M0R5Y9HP,SIP Club: Doubles After Dark,https://www.goersapp.com/events/sip-club-doubles-after-dark--sipclubrep8okt,"Detail:
- 3 jam, 2 lapangan
- 18 pemain
- Semua gender
- Semua umur
- Level: Upper beginner - intermediate
- Voucher for top 3
- Format: Americano
- Skor: Tennis Game of 4
- Pace: Intense
- Partner: Tetap (tidak rotasi)
- Bola akan disediakan
- Umpire/ballboy akan disediakan
- Mohon bawa raket sendiri atau bisa pinjam di lapangan
- Mohon unggah bukti pembayaran ke Reclub SIP Club: https://reclub.co/clubs/@sipclub",2025-10-08T20:00:00+07:00,2025-10-08T23:00:00+07:00,Republic Padel TB Simatupang,"Jl. TB Simatupang, RT.11/RW.4, Tj. Bar., Kecamatan Jagakarsa, Jakarta Selatan Kota, Jakarta, Indonesia",SIP CLUB,false,235000,IDR,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1759474427-HeiEGLdlvG7kVBx3OXoFSPiOunCqTWTQ.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
B6P7K1A3WF,BORSUMY HERITAGE FUN RUN 2025,https://www.goersapp.com/events/borsumy-heritage-fun-run-2025--borsumyfunrun2025,"Borsumy Fun Run 2025 Run Through the Heritage

Borsumy Heritage Semarang akan menyelenggarakan Borsumy Fun Run 2025 pada Minggu, 26 Oktober 2025 dengan titik start dan finish di Borsumy Heritage.

Acara ini terbuka untuk umum dan komunitas, menghadirkan pengalaman lari yang unik dengan sentuhan budaya heritage, hiburan musik, serta berbagai aktivitas seru sepanjang rute.

Fasilitas yang didapatkan peserta:
- Jersey eksklusif
- BIB number
- Finisher medal
- Racepack bag
- Doorprize menarik
- Refreshment
- Dokumentasi foto
- Akses ke hiburan musik (live band, DJ, cheering spot)
- Medical team & water station di sepanjang rute

Biaya Pendaftaran:
Presale: Rp150.000
Reguler: Rp200.000

Hiburan sepanjang rute: cheering spot, live music by S-Lost Band, dan DJ Bram Starmix.

Informasi lebih lanjut dapat diakses melalui akun resmi Borsumy Heritage: @borsumyevents dan @borsumyheritage_indonesia.

segera daftarkan diri Anda dan nikmati pengalaman lari yang penuh semangat di BorsumyFunRun2025!",2025-10-26T06:00:00+07:00,2025-10-26T10:00:00+07:00,Borsumy Heritage,"Jl. Letjen Suprapto No.30-31, Old Town, Tj. Mas, Kecamatan Semarang Utara, Semarang Kota, Jawa Tengah, Indonesia",BORSUMY HERITAGE INDONESIA,false,200000,IDR,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757932076-Xpu8vOQ7vmkyenydlw4BksOhkhUnqaAo.png?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
X4Z9C8V2DL,AMATERASUN SPORT ACADEMY - GUARDIAN RUKO BUARAN,https://www.goersapp.com/events/amaterasun-sport-academy-guardian-ruko-buaran--amaterasunsportacademyrukobuaran,"AMATERASUN SPORT ACADEMY

Amaterasun Sport Academy hadir untuk ajak kamu olahraga seru namun tetap aman di bawah matahari.

Dengan perlindungan #RealSPF dan Intelligent DNA Guardian dari Amaterasun Sunscreen, kamu bisa bebas bergerak kapan aja, di mana aja tanpa takut kulit belang.

Bagi Amaterasun, gaya hidup sehat dimulai dari satu langkah kecil, dan setiap tetes perlindungan yang nyata.

Sport Academy bukan cuma olahraga, tapi juga cara seru buat hidup sehat, aktif, dan selalu terlindungi!",2025-10-26T08:00:00+07:00,2025-10-26T09:00:00+07:00,Apotek Guardian Ruko Buaran,"Jl. Buaran Raya No.39, RT.6/RW.15, Duren Sawit, Kecamatan Duren Sawit, Jakarta Timur Kota, Daerah Khusus Ibukota Jakarta, Indonesia",Somethinc Official,false,45000,IDR,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757492316-3THeIWHbjkywJTNdZjDNBbywFFAgDMEV.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
N0T3F7R5KJ,AMATERASUN SPORT ACADEMY - GUARDIAN MERUYA ILIR,https://www.goersapp.com/events/amaterasun-sport-academy-guardian-meruya-ilir--amaterasunsportacademymeruyailir,"AMATERASUN SPORT ACADEMY

Amaterasun Sport Academy hadir untuk ajak kamu olahraga seru namun tetap aman di bawah matahari.

Dengan perlindungan #RealSPF dan Intelligent DNA Guardian dari Amaterasun Sunscreen, kamu bisa bebas bergerak kapan aja, di mana aja tanpa takut kulit belang.

Bagi Amaterasun, gaya hidup sehat dimulai dari satu langkah kecil, dan setiap tetes perlindungan yang nyata.

Sport Academy bukan cuma olahraga, tapi juga cara seru buat hidup sehat, aktif, dan selalu terlindungi!",2025-10-12T08:00:00+07:00,2025-10-12T09:00:00+07:00,GUARDIAN - Ruko Meruya Ilir,"Jl. Meruya Ilir Raya No.2, Srengseng, Kecamatan Kembangan, Jakarta Barat Kota, Daerah Khusus Ibukota Jakarta, Indonesia",Somethinc Official,false,45000,IDR,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757490650-mvpwROn71TrnIdrqaMlRdviaQp9PHdSH.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
H8Y1Q4G9EM,AMATERASUN SPORT ACADEMY - WATSONS TANJUNG DUREN STREET,https://www.goersapp.com/events/amaterasun-sport-academy-watsons-tanjung-duren-street--amaterasunsportacademytd,"AMATERASUN SPORT ACADEMY

Amaterasun Sport Academy hadir untuk ajak kamu olahraga seru namun tetap aman di bawah matahari.

Dengan perlindungan #RealSPF dan Intelligent DNA Guardian dari Amaterasun Sunscreen, kamu bisa bebas bergerak kapan aja, di mana aja tanpa takut kulit belang.

Bagi Amaterasun, gaya hidup sehat dimulai dari satu langkah kecil, dan setiap tetes perlindungan yang nyata.

Sport Academy bukan cuma olahraga, tapi juga cara seru buat hidup sehat, aktif, dan selalu terlindungi!",2025-10-25T08:00:00+07:00,2025-10-25T09:00:00+07:00,Watsons Tanjung Duren,"Jl. Tanjung Duren Raya No.39, RT.1/RW.5, Tj. Duren Sel., Kecamatan Grogol petamburan, Jakarta Barat Kota, Daerah Khusus Ibukota Jakarta, Indonesia",Somethinc Official,false,45000,IDR,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757489744-m8aboIOlen0hD7UzyGLdzLw94R8Q8rRO.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
P5L2J6S8VC,AMATERASUN SPORT ACADEMY - WATSONS PESANGGRAHAN RAYA STREET,https://www.goersapp.com/events/amaterasun-sport-academy-watsons-pesanggrahan-raya-street--amaterasunsportpesanggrahan,"AMATERASUN SPORT ACADEMY

Amaterasun Sport Academy hadir untuk ajak kamu olahraga seru namun tetap aman di bawah matahari.

Dengan perlindungan #RealSPF dan Intelligent DNA Guardian dari Amaterasun Sunscreen, kamu bisa bebas bergerak kapan aja, di mana aja tanpa takut kulit belang.

Bagi Amaterasun, gaya hidup sehat dimulai dari satu langkah kecil, dan setiap tetes perlindungan yang nyata.

Sport Academy bukan cuma olahraga, tapi juga cara seru buat hidup sehat, aktif, dan selalu terlindungi!",2025-10-25T08:00:00+07:00,2025-10-25T09:00:00+07:00,Watsons,"Jl. Pesanggrahan No.6, RT.10/RW.5, Meruya Utara, Kecamatan Kembangan, Jakarta Barat Kota, Daerah Khusus Ibukota Jakarta, Indonesia",Somethinc Official,false,45000,IDR,"https://d3hzxw6fwm263k.cloudfront.net/uploads/events/photos/1757488819-nUgiwBRNjpt9xOFE2QaoKA2VzNYmtbdT.jpg?width=1024&quality=90&x-oss-process=image/resize,w_1024,m_lfit/quality,q_90"
